,content,Type,sentiment,preprocessed,pos_tags
282,"Клад не был найден, старый адрес(видно по фото), кладмен кинул ""в угол"", -10к за вечер и нет кайфа",Л,-1,клад найти старый адрес видно фото кладмена кинуть угол 10к вечер кайф,NOUN PART AUX VERB ADJ NOUN ADV ADP NOUN NOUN VERB ADP NOUN NUM ADP NOUN CCONJ VERB NOUN
283,"Случился ненаход, открыл диспут, в перезакладе, как я понял, отказали. Обидно.",Л,-1,случиться ненаход открыть диспут перезаклад понять отказать обидно,VERB NOUN VERB NOUN ADP NOUN SCONJ PRON VERB VERB ADJ
284,"Странно, в первый раз за все время, что покупал лсд попался среди товаров нбом. Очень огорчён.",Л,-1,странно первый всё время покупать лсд попасться среди товар нб очень огорчить,ADJ ADP ADJ NOUN ADP DET NOUN SCONJ VERB NOUN VERB ADP NOUN NOUN ADV ADJ
285,"Вы долбанулись? Еще не хватало по подъездам с отвёрткой лазать и раскручивать окна, кладмен дебил.",Л,-1,долбануться ещё хватать подъезд отвёртка лазать раскручивать окно кладмена дебил,PRON VERB ADV PART VERB ADP NOUN ADP NOUN VERB CCONJ VERB NOUN NOUN NOUN
286,"БДСМ шоп ненаход и ещё какие-то пидарасы ноунеймы второй ненаход подряд Идите нахуй, диспут бул пусть не пиздяи быстрее хочу оставить негатив уебкам",Л,-1,бдсм шоп ненаход ещё пидарас ноунейм второй ненаход подряд идти нахуй диспут бул пусть пиздяй быстрый хотеть оставить негатив уебок,ADJ NOUN NOUN CCONJ ADV DET NOUN NOUN ADJ NOUN ADV VERB ADV NOUN NOUN PART PART VERB ADV VERB VERB NOUN NOUN
287,"Ничего не нашли, ещё и магазин игнорирует!!!!",Л,-1,наслать ещё магазин игнорировать,PRON PART VERB ADV PART NOUN VERB
288,Ну хуйня клад старый не советую хотелось попробовать увы,Л,-1,хуйня клад старый советовать хотеться попробовать увы,PART NOUN NOUN ADJ PART VERB VERB VERB ADV
289,"Ненаход, магазин на встречу не пошёл, провел повторный поиск, всё обыскал. На месте явно устроили пикник, валялись бутылки да и место проходное, палится влёгкую Магазин испортился, каждый второй клад - ненаход. Описания кладов будто то ли дислексик оставляет, то ли узбек",Л,-1,ненаход магазин встреча пойти провести повторный поиск всё обыскать место явно устроить пикник валяться бутылка место проходной палиться влёгкую магазин испортиться каждый второй клад ненаход описание клад дислексика оставлять узбек,NOUN NOUN ADP NOUN PART VERB VERB ADJ NOUN PRON VERB ADP NOUN ADV VERB NOUN VERB NOUN CCONJ PART NOUN ADJ VERB ADJ PROPN VERB DET ADJ NOUN NOUN NOUN NOUN PART SCONJ PART NOUN VERB SCONJ PART NOUN
290,"Не советую связываться с этим магазином. Был ненаход. Кладмен долго отнекивался, говорил мол клад свежий, всё на месте.",Л,-1,советовать связываться это магазин ненаход кладмена долго отнекиваться говорить мол клад свежий всё место,PART VERB VERB ADP DET NOUN AUX NOUN NOUN ADV VERB VERB ADV NOUN ADJ PRON ADP NOUN
291,"3 из 4 ненаходов, на второй покупке сказали выдадут перезаклад после еще трех покупок. Сказано - сделано, купил еще три и сказали выдадут купон на 30%) Отвечают по полдня еще и совсем не пытаясь вникнуть в проблему, все им расписываешь, а они как по методичке отвечают. Очень не советую",Л,-1,ненаход второй покупка сказать выдать перезаклад ещё покупка сказать сделать купить ещё сказать выдать купон отвечать полдень ещё пытаться вникнуть проблема всё расписывать методичка отвечать очень советовать,NUM ADP NUM NOUN ADP ADJ NOUN VERB VERB NOUN ADP ADV NUM NOUN VERB VERB VERB ADV NUM CCONJ VERB VERB NOUN ADP NUM SYM VERB ADP NOUN ADV PART ADV PART VERB VERB ADP NOUN PRON PRON VERB CCONJ PRON ADV ADP NOUN VERB ADV PART VERB
292,"Клад снял, все ок. Качество ни какое, съел две марки и ничего, беда(",Л,-1,клад снять всё около качество съесть марка беда,NOUN VERB DET NOUN NOUN PART DET VERB NUM NOUN CCONJ PRON NOUN
293,"Место в опе мира, в лесу. Вместо марок нбом. 4 марки на двоих и ничего, кроме плохого самочуствия. #2 P.S. на первом отзыве случайно забыл оценку снизить, так что 0/10",Л,-1,место опе мир лес вместо марка нб марка двое кроме плохой самочуствие p s первый отзыв случайно забыть оценка снизить,NOUN ADP NOUN NOUN ADP NOUN ADP NOUN NOUN NUM NOUN ADP NUM CCONJ PRON ADP ADJ NOUN SYM NUM PROPN PROPN ADP ADJ NOUN ADV VERB NOUN VERB ADV SCONJ NUM NUM
294,"Не советую связываться с этим магазином. Был ненаход. Кладмен долго отнекивался, говорил мол клад свежий, всё на месте. На адрес ездили 3 раза, по прежнему ничего не нашли. Магазин якобы ""пошёл на встречу"", написали, что сделают перезаклад при покупке 3 товаров на сумму заказа, который не нашли. То есть я должен рисковать ещё своими деньгами и опять без каких либо гарантий. Вот это сервис!",Л,-1,советовать связываться это магазин ненаход кладмена долго отнекиваться говорить мол клад свежий всё место адрес ездить прежний наслать магазин якобы пойти встреча написать сделать перезаклад покупка товар сумма заказ который наслать должный рисковать ещё свой деньга либо гарантия это сервис,PART VERB VERB ADP DET NOUN AUX NOUN NOUN ADV VERB VERB ADV NOUN ADJ PRON ADP NOUN ADP NOUN VERB NUM NOUN ADP ADJ PRON PART VERB NOUN ADV VERB ADP NOUN VERB SCONJ VERB NOUN ADP NOUN NUM NOUN ADP NOUN NOUN PRON PART VERB PRON VERB PRON ADJ VERB ADV DET NOUN CCONJ ADV ADP DET CCONJ NOUN PART PRON NOUN
295,"Ненаход. Магазин предложил еще 3 заказа и замену этого потом, но чёт не охота. Вроде куча заказов и отзывов хороших много, но плохие читайте, не смотрите на звёздочки. Зажрались ребята. Успехов вам.",Л,-1,ненаход магазин предложить ещё заказ замена это чёт охота вроде куча заказ отзыв хороший плохой читать смотреть звёздочка зажраться ребята успех,NOUN NOUN VERB ADV NUM NOUN CCONJ NOUN PRON ADV CCONJ ADV PART NOUN ADP NOUN NOUN CCONJ NOUN ADJ ADV CCONJ ADJ VERB PART VERB ADP NOUN VERB NOUN NOUN PRON
296,"ненаход, досадно, непонятные для меня условия перезаклада, грозящие потерей суммы втрое больше уже потерянной, рад за всех кто нашел, мир труд май",Л,-1,ненаход досадный непонятный условие перезаклад грозить потеря сумма втрое большой потерянный рад весь найти мир труд май,NOUN ADV ADJ ADP PRON NOUN NOUN VERB NOUN NOUN ADV ADV ADV VERB ADJ ADP PRON PRON VERB NOUN NOUN NOUN
297,"ненаход, если вы ничего не найдете,то даже не ждите,что вам вернут деньги или дадут пз",Л,-1,ненаход найти ждать вернуть деньга дать пз,NOUN SCONJ PRON PRON PART VERB SCONJ PART PART VERB PRON PRON VERB NOUN CCONJ VERB NOUN
298,очень отзывчивая администрация и мгновенная обратная свзяь . возникли проблемы при поиске быстро вышли на связь помогли мне указали что где как. по качеству пока не буду писать ибо сейчас употреблять не собираюсь. определенно все 10тки !!) 10/10/10 thanks,Л,1,очень отзывчивый администрация мгновенный обратный свзяь возникнуть проблема поиск быстро выйти связь помочь указать качество пока писать ибо употреблять собираться определённо всё 10ткать thanks,ADV ADJ NOUN CCONJ ADJ ADJ NOUN VERB NOUN ADP NOUN ADV VERB ADP NOUN VERB PRON VERB PRON ADV ADV ADP NOUN ADV PART AUX VERB SCONJ ADV VERB PART VERB ADV DET NOUN NUM NUM NUM PROPN
299,"Добрый вечер Всем . Положительный отзыв , все как и обычно зашел купил , забрал , и все хорошо . Магазину 10 из 10 на вышке . Всем добра Братцы .",А,1,добрый вечер весь положительный отзыв всё обычно зайти купить забрать всё магазин вышка весь добро братец,ADJ NOUN PRON ADJ NOUN PRON SCONJ PART ADV VERB VERB VERB CCONJ PRON ADJ PROPN NUM ADP NUM ADP NOUN DET NOUN PROPN
300,"Приехала, касание! Упаковка и место зачет... Советую, а и качь 10 Успехов и процветания Забегу еще не раз：)",А,1,приехать касание упаковка место зачёт советовать качить успех процветание забег ещё,VERB NOUN NOUN CCONJ NOUN NOUN VERB CCONJ PART ADP NUM PROPN CCONJ NOUN PROPN ADV PART VERB
301,"Шикарно! Кладмен красавчик, квест легкий. Перевес небольшой порадовал, спасибо) Зайду еще!",А,1,шикарно кладмена красавчик квест лёгкий перевес небольшой порадовать спасибо зайти ещё,ADJ NOUN NOUN NOUN ADJ NOUN ADJ VERB NOUN VERB ADV
302,Вечер дождь не помеха. Кладмен респект магазу почет и уважуха 10/10/10,А,1,вечер дождь помеха кладмена респект магаза почёт уважуха,NOUN NOUN PART NOUN NOUN VERB NOUN NOUN CCONJ NOUN NUM NUM NUM
303,"10/10/10 все отлично, забрали в касание) магазину процветания, всех обняли)",А,1,всё отлично забрать касание магазин процветание весь обнять,NUM NUM NUM PRON ADV VERB ADP NOUN NOUN NOUN DET NOUN
304,"Квест изи))) Место и упаковка на 10, даже на 110 ) Описание подробное, фотки четкие и понятные, хотя гео было метров на 10 ошибочным по Яндекс. Навигатору, но благодаря фоткам проблем не составило) Вес - вместе с зипом 1,4 (без общей упаковки конечно), так что хз ровно 1 или 0,9, но как бы вообще пофигу) Качество - нежный как жопа младенца, вошел приятно. Слегка влажный, но вообще не критично. 2 полоски дали уже заметное поднятие настроя и желание пахать))) Думаю заслуженно могу поставить все 10) ",А,1,квест изя место упаковка описание подробный фотка чёткий понятный хотя гео метр ошибочный яндекс навигатор благодаря фотка проблема составить вес вместе зип общий упаковка хз ровно вообще пофига качество нежный жопа младенец войти приятно слегка влажный вообще критично полоска дать заметный поднятие настрой желание пахать думать заслуженно мочь поставить всё,NOUN NOUN NOUN CCONJ NOUN ADP NUM PART ADP NUM NOUN ADJ NOUN ADJ CCONJ ADJ SCONJ NOUN VERB NOUN ADP NUM ADJ ADP PROPN NOUN CCONJ ADP NOUN NOUN PART VERB NOUN ADV ADP NOUN NUM ADP ADJ NOUN ADV ADV SCONJ VERB ADV NUM CCONJ NUM CCONJ ADV PART ADV VERB NOUN ADJ SCONJ NOUN NOUN VERB ADJ ADV ADJ CCONJ ADV PART ADJ NUM NOUN VERB ADV ADJ NOUN NOUN CCONJ NOUN VERB VERB ADV VERB VERB DET NUM
305,"Как обычно всё четко, поднято в касание и спрятано надежно. Можно уже и скидочку)) часто беру у вас",А,1,обычно всё чётко поднять касание спрятать надёжно скидочка часто брать,SCONJ ADV PRON ADJ VERB ADP NOUN CCONJ VERB ADV ADV ADV CCONJ NOUN ADV VERB ADP PRON
306,"Место прям пушка , хер сошкуришь ! За идею курьеру 5 + , все на высшем уровне.",А,1,место прям пушка хер сошкурить идея курьер всё высокий уровень,NOUN ADV NOUN NOUN VERB ADP NOUN NOUN NUM SYM PRON ADP ADJ NOUN
307,"Рекомендую брать только в этом магазине, настоящий фен, плохо растворяется в воде, отличный приход и держит ровно и долго. Минимальный отходняк на след день, зато держит ровно и четко, 100% концентрация. В остальных магазинах )(уета Ребята, держите качество, все охуенно!!! Кладмен молодец, нашёл почти сразу (были проблемы с геолокацией в лесу, но нашелся в итоге) А так по месту четко вообще",А,1,рекомендовать брать это магазин настоящий фен плохо растворяться вода отличный приход держать ровно долго минимальный отходняк след день зато держать ровно чётко концентрация остальной магазин ует ребята держать качество всё охуенно кладмена молодец найти сразу проблема геолокация лес найтись итог место чётко вообще,VERB VERB PART ADP DET NOUN ADJ NOUN ADV VERB ADP NOUN ADJ NOUN CCONJ VERB ADV CCONJ ADV ADJ NOUN ADP NOUN NOUN CCONJ VERB ADV CCONJ ADV NUM SYM NOUN ADP ADJ NOUN NOUN VERB NOUN PRON ADJ NOUN NOUN VERB ADV ADV AUX NOUN ADP NOUN ADP NOUN CCONJ VERB ADP NOUN CCONJ ADV ADP NOUN ADV ADV
308,качество хорошее. были проблемы с находом. магазин помог.,А,1,качество хороший проблема наход магазин помочь,NOUN ADJ AUX NOUN ADP NOUN NOUN VERB
309,"Далеко, в надежности было усомнился, т.к. охранник базы при обходе, мог бы увидеть нечто на светлом заборе, но все на месте сьем секундный...",А,1,далеко надёжность усомниться охранник база обход мочь увидеть нечто светлый забор всё место сье секундный,ADV ADP NOUN AUX VERB SCONJ NOUN NOUN ADP NOUN VERB AUX VERB PRON ADP ADJ NOUN CCONJ PRON ADP NOUN NOUN ADJ
310,Клад мен красава закладыаает так что овчарки не найдут,А,1,клад мена красава закладыаать овчарка найти,NOUN NOUN NOUN VERB ADV SCONJ NOUN PART VERB
311,"Стаф на месте, все четко КМ - профи, кач нормальный, но хотелось бы посильнее, но в целом - все четко",А,1,стафа место всё чётко км профи кач нормальный хотеться посильный целое всё чётко,NOUN ADP NOUN PART ADV NOUN NOUN NOUN ADJ CCONJ VERB AUX ADJ CCONJ ADP NOUN PRON ADV
312,"В очередной раз - всё замечательно. Спасибо! Клад порадовал качеством и перевесом :) Квест больше не преодоление, а дополнение к приключению :) Рекомендую товар и продавца :))))",А,1,очередной всё замечательный спасибо клад порадовать качество перевес квест большой преодоление дополнение приключение рекомендовать товар продавец,ADP ADJ NOUN PRON ADJ NOUN NOUN VERB NOUN CCONJ NOUN NOUN ADV PART NOUN CCONJ NOUN ADP NOUN VERB NOUN CCONJ NOUN
313,"всё в порядке, поездка была комфортной, спасибо за качественный сервис",А,1,всё порядок поездка комфортный спасибо качественный сервис,PRON ADP NOUN NOUN AUX ADJ NOUN ADP ADJ NOUN
314,"Сначала испугались, что ненаход, но ещё раз все перепроверив внимательно, поиски закончили успехом. По весу было чуть-чуть меньше, но это не критично. Сам стаф хороший. ",А,1,сначала испугаться ненаход ещё всё перепроверить внимательно поиск закончить успех вес маленький это критично стафа хороший,ADV VERB SCONJ NOUN CCONJ ADV NOUN PRON VERB ADV NOUN VERB NOUN ADP NOUN AUX PART NUM CCONJ PRON PART ADJ ADJ NOUN ADJ
315,"Надежно, но под окнами поднимать стремно... По качеству в Екб на мой взгляд, что ""Импорт 3"", что ""Премиум"" из одной бочки ""разлиты"", а вот цены разные. Сам по себе продукт качественный, своих денег стоит. Т.к. прошлый раз не смог отписаться, в отступление скажу, что это самый клиентоориентированный магазин на площадке с которым приходилось иметь дело, бывали недочеты и будут скорее всего (человеческий фактор никто не отменял), но мы нашли консенсус и магазин держит свое слово и дорожит клиентами. Спасибо за сервис, я с вами! ",А,1,надёжно окно поднимать стремный качество екб взгляд импорт премиум бочка разлить цена разный продукт качественный свой деньга стоить прошлый смочь отписаться отступление сказать это самый клиентоориентировать магазин площадка который приходиться иметь дело бывать недочёт скорее весь человеческий фактор никто отменять наслать консенсус магазин держать свой слово дорожить клиент спасибо сервис,ADJ CCONJ ADP NOUN VERB ADJ ADP NOUN ADP PROPN ADP DET NOUN SCONJ NOUN NUM SCONJ NOUN ADP NUM NOUN VERB CCONJ PART NOUN ADJ ADJ ADP PRON NOUN ADJ DET NOUN VERB PROPN ADV ADJ NOUN PART VERB VERB ADP NOUN VERB SCONJ PRON ADJ ADJ NOUN ADP NOUN ADP PRON VERB VERB NOUN VERB NOUN CCONJ AUX ADV PRON ADJ NOUN PRON PART VERB CCONJ PRON VERB NOUN CCONJ NOUN VERB DET NOUN CCONJ VERB NOUN NOUN ADP NOUN PRON ADP PRON
316,"Сняли в касуху! Вес в порядке! Ну наконец то розовый, давно его хотел хапнуть!) а то белый заебал уже) сам шпек походу огонь! Выстрелил сразу)) позже дополню… Лучше в птз не найдёшь! Это именно тот шпек, каким он и должен быть! Сразу вспомнил былые времена) запах супер, радует нос!)) ",А,1,снять касуха вес порядок розовый давно хотеть хапнуть белый заебал шпек поход огонь выстрелить сразу поздний дополнить хороший птз найти это именно шпек должный сразу вспомнить былой время запах супер радовать нос,VERB ADP NOUN NOUN ADP NOUN PART ADV PRON ADJ ADV PRON VERB VERB CCONJ SCONJ ADJ VERB ADV ADJ ADP NOUN NOUN VERB ADV ADV VERB ADJ ADP NOUN PART VERB PRON PART DET NOUN DET PRON PART ADJ VERB ADV VERB ADJ NOUN NOUN NOUN VERB NOUN
317,"Стаф стоит своих денег. Брал тут два раза, оба раза выпадала прогулка на природу, оба раза смог найти без фоток и карты. Кладмену респект за подробный рассказ и обилие фоток. Единственное нарекание: слишком уж надежно, может показаться, что ничего нет, но надо просто продолжать поиск. В этот раз магазин прямо выручил: был ненаход в другом магазине, пока шел диспут, решил сыграть в рулетку, и повезло! 10/10/10",А,1,стафа стоить свой деньга брать оба выпадать прогулка природа оба смочь найти фотка карта кладмена респект подробный рассказ обилие фотка единственный нарекание слишком надёжно мочь показаться просто продолжать поиск магазин прямо выручить ненаход друг магазин пока идти диспут решить сыграть рулетка повезти,NOUN VERB DET NOUN VERB ADV NUM NOUN NUM NOUN VERB NOUN ADP NOUN NUM NOUN VERB VERB ADP NOUN CCONJ NOUN NOUN NOUN ADP ADJ NOUN CCONJ NOUN NOUN ADJ NOUN ADV PART ADJ VERB VERB SCONJ PRON VERB CCONJ ADV PART VERB NOUN ADP DET NOUN NOUN ADV VERB AUX VERB ADP ADJ NOUN SCONJ VERB NOUN VERB VERB ADP NOUN CCONJ VERB NUM NUM NUM
318,"Хочу выразить огромную благорадрность магазину за грамотность,чистоту и справедливость!Снято четко в касание,ни сантимером дальше,ни ближе,ВСЕ ЧЁТКО! Буду заходить ещё и не раз!Спасибо оргомное,ставлю 10.10.10 Магазину двигаться только вперед, а всем добра!КАЧ АХУЕННЫЙ",А,1,хотеть выразить огромный благорадрность магазин грамотность чистота справедливость снятой чётко касание сантимер далёкий близкий всё чётко заходить ещё спасибо оргомной ставить магазин двигаться вперёд весь добро кач ахуенный,VERB VERB ADJ NOUN NOUN ADP NOUN NOUN CCONJ NOUN VERB ADV ADP NOUN CCONJ NOUN ADV CCONJ ADV ADV AUX VERB ADV CCONJ PART NOUN NOUN ADJ VERB NUM PROPN VERB PART ADV CCONJ DET NOUN NOUN ADJ
319,приветствую всех кто читает этот отзыв ! про данны магазин скажу только хорошее. брали много раз . только с другог акка! не раз магазин шел на встречу и выдавал купоны! за что огромное СПАСИБО с вами приятно иметь дело ... по качеству ни одного нарекания. разворачиваю -( если вы кушаете очень часто вам стоит зделать перерыв ! приедается ... здесь всегда все четко! что могу сказать про квесты - ребят ну вы не маленькие должны понимать казусы случаются никто не застрохован. нооо. отдельное спасибо супер-менам которые рискуют и кладут так чтоб мы не палились и славно провели свой досуг СПАСИБО ... СПАСИБО ..... СПАСИБО.... в данном магазине работают профессионалы повторюсь с вами приятно иметь дело . последний квест просто изи и 30 секунд не прошло сняли. прчем в таком месте что никто и не поверит ! кладмен красава просто! ТОЛЬКО ОДИН МИНУС Я МОГУ ВЫДЕЛИТЬ У ДАННОГО МАГАЗИНЫ МАЛО КЛАДОВ У МЕНЯ НА РАЙОНЕ ))))))) поставить десятки не поставить ничего! 100\100\100 процветания и удачи в нашем не леглом деле ))),А,1,приветствовать весь читать отзыв данна магазин сказать хороший брать другога акка магазин идти встреча выдавать купон огромный спасибо приятно иметь дело качество нарекание разворачивать кушать очень часто стоить зделать перерыв приедаться всё чётко мочь сказать квест ребята маленький должный понимать казус случаться никто застроховать нооо отдельный спасибо супер мена который рисковать класть палиться славно провести свой досуг спасибо спасибо спасибо данный магазин работать профессионал повториться приятно иметь дело последний квест просто изя секунда пройти снять прч место никто поверить кладмена красава просто минус мочь выделить данный магазин мало клад район поставить десятка поставить процветание удача наш леглом дело,VERB PRON PRON VERB DET NOUN ADP ADJ NOUN VERB PART ADJ VERB ADV NOUN PART ADP ADJ NOUN PART NOUN NOUN VERB ADP NOUN CCONJ VERB NOUN ADP PRON ADJ NOUN ADP PRON ADJ VERB NOUN ADP NOUN PART NUM NOUN VERB SCONJ PRON VERB ADV ADV PRON VERB VERB NOUN VERB ADV ADV PRON ADJ PRON VERB VERB ADP NOUN NOUN PART PRON PART ADJ ADJ VERB NOUN VERB PRON PART VERB NOUN ADJ NOUN ADP NOUN PRON VERB CCONJ VERB ADV SCONJ PRON PART VERB CCONJ ADV VERB DET NOUN NOUN NOUN NOUN ADP ADJ NOUN VERB NOUN VERB ADP PRON ADJ VERB NOUN ADJ NOUN PART NOUN CCONJ NUM NOUN PART VERB VERB ADV ADP DET NOUN PRON PRON PART PART VERB NOUN NOUN ADJ PART NUM NOUN PRON VERB VERB ADP ADJ NOUN ADV NOUN ADP PRON ADP PROPN VERB NOUN PART VERB PRON NUM SYM NUM NUM NOUN CCONJ NOUN ADP DET PART ADJ NOUN
320,"В который раз убеждаюсь и удивляюсь, как Вы дисциплинированны. товр пушка. буквыв разбега.ются. спасибо",А,1,который убеждаться удивляться дисциплинированный товр пушка буквыть разбег ться спасибо,ADP PRON NOUN VERB CCONJ VERB ADV PRON VERB NOUN NOUN NOUN VERB NOUN
321,"Всё хорошо, как и в прошлый раз, нашел быстро, место хорошее тоже.",А,1,всё прошлый найти быстро место хороший,PRON ADJ SCONJ PART ADP ADJ NOUN VERB ADV NOUN ADJ PART
322,"Спасибо, все нашлось быстро, товар как всегда отличный",А,1,спасибо всё найтись быстро товар отличный,NOUN PRON VERB ADV NOUN SCONJ ADV ADJ
323,"Забрали . на навигаторе тропы не отображаются , если свкрнешь не туда, все пизда... Через дебри пойдешь... А так нашли в касание ... Брал не себе , про качество ни чего сказать не могу, вес ровный",А,1,забрать навигатор тропа отображаться свкрнесть туда всё пизда дебри пойти наслать касание брать качество сказать мочь вес ровный,VERB ADP NOUN NOUN PART VERB SCONJ VERB PART ADV DET NOUN ADP NOUN VERB CCONJ ADV VERB ADP NOUN VERB PART PRON ADP NOUN CCONJ PRON VERB PART VERB NOUN ADJ
324,"Всем привет . Давно не брал магнит , как -то опасно . Но тут положили только вот вот , в магазине я уверен, и район мой , оплатил . В результате 10/10 , но все же не так просто , минёру поправочка на будущее , присобачить можно , но подумай как снимать, у меня рука большая пальцы толстые еле просунул и оп! свалился магнитик, а вокруг люди и камеры , прикинь ситуация , всего не предусмотришь , но об этом думай в первую очередь , мы не в 12 записок играем, место с проходимостью около 10 человек в минуту, кто -то в курсе зачем я ковыряюсь , а вдруг он мент или из этих , которые сразу в милицию , а там патруль частый , я в догонялки ещё в 90ые наигрался. Но наглость второе счастье поэтому прокатило. Согласен и мой косяк тоже , но я не рентген точно определить где приделан магнит до миллиметра . Думаю все поняли о чем я . Брал ,01 в описание обещано немерено Стима , ну похоже у меня немереный Толик . Надо перерыв делать . А так , магазину респект за такие закладки , на грани фола играют только профи. Район порадовал это плюс .Вес даже смотреть не стал , магазин в авторитете у меня . Все 10-ки . Спасибо за внимание , извините за слишком много написаного . Заметьте 5 утра я не сплю ) это с 2/3 единицы начиная около 6 вечера . Музычка уже более спокойная играет . Всем приятного отдыха с Покемоном",А,1,весь привет давно брать магнит опасно положить магазин уверенный район оплатить результат всё просто минёр поправочка будущее присобачить подумать снимать рука больший палец толстый еле просунуть оп свалиться магнитик вокруг человек камера прикинуть ситуация весь предусмотреть это думать первый очередь записка играть место проходимость около человек минута курс ковыряться мент который сразу милиция патруль частый догонялки ещё 90ый наиграться наглость второе счастие поэтому прокатить согласный косяк рентген точно определить приделать магнит миллиметр думать всё понять брать описание обещать немерено стим похоже немереный толика перерыв делать магазин респект закладка грань фол играть профи район порадовать это плюс вес смотреть стать магазин авторитет всё ки спасибо внимание извинить слишком написаный заметить утро спать это единица начинать около вечер музычка спокойный играть весь приятный отдых покемон,PRON NOUN ADV PART VERB NOUN ADV PART ADJ CCONJ ADV VERB PART PART PART ADP NOUN PRON ADJ CCONJ NOUN DET VERB ADP NOUN NUM NUM CCONJ PART PART PART ADV ADJ NOUN NOUN ADP NOUN VERB ADV CCONJ VERB ADV VERB ADP PRON NOUN ADJ NOUN ADJ PART VERB CCONJ NOUN VERB NOUN CCONJ ADP NOUN CCONJ NOUN VERB NOUN PRON PART VERB CCONJ ADP PRON VERB ADP ADJ NOUN PRON PART ADP NUM NOUN VERB NOUN ADP NOUN ADP NUM NOUN ADP NOUN PRON PART ADP NOUN ADV PRON VERB CCONJ ADV PRON NOUN CCONJ ADP DET PRON ADV ADP NOUN CCONJ ADV NOUN ADJ PRON ADP NOUN ADV ADP ADJ VERB CCONJ NOUN ADJ NOUN ADV VERB ADJ PART DET NOUN PART CCONJ PRON PART NOUN ADV VERB ADV VERB NOUN ADP NOUN VERB PRON VERB ADP PRON PRON VERB NUM ADP NOUN VERB ADV PROPN PART ADJ ADP PRON ADJ PROPN ADV NOUN VERB CCONJ ADV NOUN NOUN ADP DET NOUN ADP NOUN NOUN VERB PART NOUN NOUN VERB DET NOUN NOUN PART VERB PART VERB NOUN ADP NOUN ADP PRON DET NOUN NOUN ADP NOUN VERB ADP ADV ADV VERB VERB NUM NOUN PRON PART VERB PRON ADP NUM NUM NOUN VERB ADP NUM NOUN PROPN ADV ADV ADJ VERB PRON ADJ NOUN ADP PROPN
325,"Все четко, безопасно и главное качественно)все десятки, газ хороший, рекомендую всем спасибо 10/10/10",А,1,всё чётко безопасно главное качественно всё десятка газ хороший рекомендовать весь спасибо,PRON ADJ ADJ CCONJ NOUN ADJ DET NOUN NOUN ADJ VERB DET NOUN NUM NUM NUM
326,"Место норм, сняли быстро. Вес соответствует, но мокрый. Был бы сухой было бы меньше примерно на 0.5гр., так как брали 5гр. Кач не плохой лайтовый. С жирной дорожки забирает норм. Нуууу скажу что за место 10, за вес 9, за качество 10. Итого 10.9.10. будем рады купону за большое количество. Всем бобра ).",А,1,место норма снять быстро вес соответствовать мокрый сухой маленький примерно 5гр брать 5гр кач плохой лайтовыя жирный дорожка забирать норма нуууа сказать место вес качество итого рада купон большой количество весь бобёр,NOUN NOUN VERB ADV NOUN VERB CCONJ ADJ AUX AUX ADJ AUX AUX NUM ADV ADP NUM ADV SCONJ VERB NOUN NOUN PART ADJ ADJ ADP ADJ NOUN VERB NOUN NOUN VERB SCONJ ADP NOUN NUM ADP NOUN NUM ADP NOUN NUM ADP NUM AUX ADJ NOUN ADP ADJ NOUN PRON ADJ
327,"Так ребят место нашёл еле еле корды разные место все перевернуто но я везунчик))). Мне повезло я нашёл свое и меня это очень обрадовало, но тавар порадовал меня ещё больше спасибо ребят прошу только с кодами не ложайте а так 1000/1000/1000",А,1,ребята место найти еле еле корд разный место всё перевернуть везунчик повезти найти свой это очень обрадовать тавар порадовать ещё большой спасибо ребята просить код ложайте,ADV NOUN NOUN VERB PART PART NOUN ADJ NOUN PRON VERB CCONJ PRON NOUN PRON VERB PRON VERB DET CCONJ PRON PRON ADV VERB CCONJ NOUN VERB PRON ADV ADV NOUN NOUN VERB PART ADP NOUN PART VERB CCONJ ADV NUM NUM NUM
328,"Вот что хотелось бы сказать по поводу этого магазина! Все всегда на высоте, кладики на месте, кладМЭН учитывает при своей работе, и место, и быстроту поиска, и степень просмотра лишних глаз и шустрых рук третих лиц!!! Можно с точностью по координатам , найти , то что в описании!!! В возникших проблемах , скорость решения и оперативность!! По качеству, продукт радует, заряжает, не напрягает, и не выводит из баланса!!! Стимулятор 10ки!!! И в итоге ребята Вы красавцы!!! Удачи и процветания!!! Позитива и добра",А,1,хотеться сказать повод это магазин всё высота кладик место кладмэн учитывать свой работа место быстрота поиск степень просмотр лишний глаз шустрый рука третихнуть лицо точность координата найти описание возникнуть проблема скорость решение оперативность качество продукт радовать заряжать напрягать выводить баланс стимулятор 10ка итог ребята красавец удача процветание позитив добро,PART PRON VERB AUX VERB ADP NOUN DET NOUN PRON ADV ADP NOUN NOUN ADP NOUN NOUN VERB ADP DET NOUN CCONJ NOUN CCONJ NOUN NOUN CCONJ NOUN NOUN ADJ NOUN CCONJ ADJ NOUN ADJ NOUN ADV ADP NOUN ADP NOUN VERB SCONJ PRON ADP NOUN ADP VERB NOUN NOUN NOUN CCONJ NOUN ADP NOUN NOUN VERB VERB PART VERB CCONJ PART VERB ADP NOUN NOUN NOUN CCONJ ADP NOUN NOUN PRON NOUN NOUN CCONJ NOUN NOUN CCONJ NOUN
